Date,Value
10/1/2008,880
10/2/2008,852
10/3/2008,828
10/6/2008,875.5
10/7/2008,876.75
10/8/2008,903.5
10/9/2008,883.5
10/10/2008,900.5
10/13/2008,831.5
10/14/2008,832.5
10/15/2008,847
10/16/2008,802.5
10/17/2008,784.5
10/20/2008,795
10/21/2008,772
10/22/2008,744
10/23/2008,720
10/24/2008,712.5
10/27/2008,730.5
10/28/2008,730.5
10/29/2008,764
10/30/2008,755.25
10/31/2008,730.75
11/3/2008,729.5
11/4/2008,741.25
11/5/2008,753.75
11/6/2008,754.5
11/7/2008,735.25
11/10/2008,753
11/11/2008,733.75
11/12/2008,724.75
11/13/2008,713.5
11/14/2008,747.5
11/17/2008,734
11/18/2008,738
11/19/2008,762
11/20/2008,738
11/21/2008,774.5
11/24/2008,822.5
11/25/2008,820.5
11/26/2008,812.5
11/27/2008,814
11/28/2008,814.5
12/1/2008,778
12/2/2008,780
12/3/2008,766.25
12/4/2008,773.25
12/5/2008,749
12/8/2008,767.25
12/9/2008,767.75
12/10/2008,802.25
12/11/2008,827.75
12/12/2008,826.5
12/15/2008,826
12/16/2008,838.25
12/17/2008,870
12/18/2008,855.25
12/19/2008,835.75
12/22/2008,849
12/23/2008,843.5
12/24/2008,843.5
12/25/2008,843.5
12/26/2008,843.5
12/29/2008,880.25
12/30/2008,869.75
12/31/2008,869.75
1/1/2009,869.75
1/2/2009,874.5
1/5/2009,853.5
1/6/2009,848.25
1/7/2009,848.5
1/8/2009,855.75
1/9/2009,847.25
1/12/2009,827
1/13/2009,826.5
1/14/2009,821.5
1/15/2009,810
1/16/2009,833.75
1/19/2009,833
1/20/2009,853.25
1/21/2009,849.25
1/22/2009,860
1/23/2009,875.75
1/26/2009,910.25
1/27/2009,897.5
1/28/2009,895.25
1/29/2009,892.25
1/30/2009,919.5
2/2/2009,918.25
2/3/2009,904.5
2/4/2009,905
2/5/2009,920
2/6/2009,913
2/9/2009,895
2/10/2009,909.75
2/11/2009,938
2/12/2009,943.25
2/13/2009,935.5
2/16/2009,942.5
2/17/2009,968
2/18/2009,964
2/19/2009,980.5
2/20/2009,989
2/23/2009,985.75
2/24/2009,984.25
2/25/2009,978.5
2/26/2009,936.5
2/27/2009,952
3/2/2009,937.25
3/3/2009,913.75
3/4/2009,908.5
3/5/2009,913
3/6/2009,936
3/9/2009,923.75
3/10/2009,901.5
3/11/2009,899.5
3/12/2009,925.25
3/13/2009,928
3/16/2009,919.5
3/17/2009,915.5
3/18/2009,893.25
3/19/2009,956.5
3/20/2009,954
3/23/2009,949.25
3/24/2009,923.75
3/25/2009,929
3/26/2009,938.25
3/27/2009,924
3/30/2009,928
3/31/2009,916.5
4/1/2009,924.5
4/2/2009,897.75
4/3/2009,905
4/6/2009,870.25
4/7/2009,879.75
4/8/2009,880
4/9/2009,880.5
4/10/2009,880.5
4/13/2009,880.5
4/14/2009,887.5
4/15/2009,891
4/16/2009,880.5
4/17/2009,870.5
4/20/2009,877
4/21/2009,888.75
4/22/2009,886
4/23/2009,897.5
4/24/2009,907.5
4/27/2009,907.5
4/28/2009,891
4/29/2009,898.25
4/30/2009,883.25
5/1/2009,884.5
5/4/2009,884.5
5/5/2009,910
5/6/2009,910
5/7/2009,912.25
5/8/2009,907
5/11/2009,913
5/12/2009,917
5/13/2009,924
5/14/2009,925.25
5/15/2009,929.5
5/18/2009,921
5/19/2009,924.75
5/20/2009,939.5
5/21/2009,937.5
5/22/2009,959.75
5/25/2009,959.75
5/26/2009,945
5/27/2009,951
5/28/2009,957.75
5/29/2009,975.5
6/1/2009,981.75
6/2/2009,980
6/3/2009,976.75
6/4/2009,970.75
6/5/2009,962
6/8/2009,943.75
6/9/2009,956
6/10/2009,953.75
6/11/2009,947.5
6/12/2009,937.25
6/15/2009,932.25
6/16/2009,934
6/17/2009,930.5
6/18/2009,940.5
6/19/2009,935.25
6/22/2009,919.25
6/23/2009,920.75
6/24/2009,933.5
6/25/2009,937.25
6/26/2009,942
6/29/2009,935.5
6/30/2009,934.5
7/1/2009,938.25
7/2/2009,929.5
7/3/2009,932.5
7/6/2009,924.5
7/7/2009,924
7/8/2009,918
7/9/2009,911.75
7/10/2009,913
7/13/2009,908.5
7/14/2009,924.75
7/15/2009,938
7/16/2009,935
7/17/2009,937.5
7/20/2009,952.75
7/21/2009,947.75
7/22/2009,948.25
7/23/2009,950
7/24/2009,951.5
7/27/2009,955
7/28/2009,944.25
7/29/2009,931
7/30/2009,932.5
7/31/2009,939
8/3/2009,959.75
8/4/2009,960.5
8/5/2009,960.5
8/6/2009,964
8/7/2009,956
8/10/2009,945
8/11/2009,942.75
8/12/2009,947.25
8/13/2009,953.5
8/14/2009,953.5
8/17/2009,932.75
8/18/2009,935
8/19/2009,943
8/20/2009,940.5
8/21/2009,952.5
8/24/2009,951.5
8/25/2009,950.5
8/26/2009,940.5
8/27/2009,943
8/28/2009,955.5
8/31/2009,955.5
9/1/2009,955
9/2/2009,964.75
9/3/2009,983
9/4/2009,989
9/7/2009,993
9/8/2009,1000.75
9/9/2009,999.5
9/10/2009,990.75
9/11/2009,1008.25
9/14/2009,999.25
9/15/2009,996
9/16/2009,1015.75
9/17/2009,1018.5
9/18/2009,1012
9/21/2009,997
9/22/2009,1014
9/23/2009,1010.25
9/24/2009,1009.75
9/25/2009,991.5
9/28/2009,991.75
9/29/2009,989.5
9/30/2009,995.75
10/1/2009,1004.75
10/2/2009,1003.5
10/5/2009,1005.5
10/6/2009,1038.75
10/7/2009,1040.25
10/8/2009,1045
10/9/2009,1051.5
10/12/2009,1058.75
10/13/2009,1057.5
10/14/2009,1059.5
10/15/2009,1053.5
10/16/2009,1047.5
10/19/2009,1050.5
10/20/2009,1061.75
10/21/2009,1053.75
10/22/2009,1053
10/23/2009,1061.75
10/26/2009,1054
10/27/2009,1036.5
10/28/2009,1031.75
10/29/2009,1040.5
10/30/2009,1040
11/2/2009,1062
11/3/2009,1061
11/4/2009,1090
11/5/2009,1089
11/6/2009,1096.75
11/9/2009,1106.75
11/10/2009,1101.5
11/11/2009,1115.25
11/12/2009,1114.75
11/13/2009,1104
11/16/2009,1130
11/17/2009,1134.75
11/18/2009,1149
11/19/2009,1135.5
11/20/2009,1140
11/23/2009,1169.5
11/24/2009,1163.25
11/25/2009,1179.75
11/26/2009,1182.75
11/27/2009,1166.5
11/30/2009,1175.75
12/1/2009,1192.5
12/2/2009,1212.5
12/3/2009,1208.75
12/4/2009,1190.25
12/7/2009,1142.5
12/8/2009,1146.75
12/9/2009,1141
12/10/2009,1128.5
12/11/2009,1124
12/14/2009,1123.75
12/15/2009,1122
12/16/2009,1137.5
12/17/2009,1117
12/18/2009,1104.5
12/21/2009,1105.5
12/22/2009,1084
12/23/2009,1085.25
12/24/2009,1085.25
12/25/2009,1085.25
12/28/2009,1085.25
12/29/2009,1106
12/30/2009,1087.5
12/31/2009,1087.5
1/1/2010,1087.5
1/4/2010,1121.5
1/5/2010,1123.25
1/6/2010,1130
1/7/2010,1130.25
1/8/2010,1126.75
1/11/2010,1153
1/12/2010,1151.25
1/13/2010,1127.25
1/14/2010,1138.25
1/15/2010,1128
1/18/2010,1134.5
1/19/2010,1133
1/20/2010,1120.25
1/21/2010,1108.25
1/22/2010,1084
1/25/2010,1095.25
1/26/2010,1093.25
1/27/2010,1094.75
1/28/2010,1088
1/29/2010,1078.5
2/1/2010,1086.5
2/2/2010,1111
2/3/2010,1115.25
2/4/2010,1083.25
2/5/2010,1058
2/8/2010,1064
2/9/2010,1071.25
2/10/2010,1069.5
2/11/2010,1076.25
2/12/2010,1082
2/15/2010,1098.25
2/16/2010,1115.25
